身份证	身份证 🪪
刨冰	刨冰 🍧
曲奇	曲奇 🍪
快餐	快餐 🍔
日料	日料 🍥
蛋糕	蛋糕 🎂
生日	生日 🎂
派	派 🥧
馅饼	馅饼 🥧
巧克力	巧克力 🍫
糖	糖 🍬
糖果	糖果 🍬
棒棒糖	棒棒糖 🍭
果冻	果冻 🍮
蜂蜜	蜂蜜 🍯
奶瓶	奶瓶 🍼
牛奶	牛奶 🥛
热饮	热饮 ☕
茶	茶 🍵
奶茶	奶茶 🧋
茶杯	茶杯 🍵
茶壶	茶壶 🫖
清酒	清酒 🍶
香槟	香槟 🍾
庆祝	庆祝 🍾
欢庆	欢庆 🍾
酒杯	酒杯 🍷
杯子	杯子 🍵
瓶子	瓶子 🫙
瓶	瓶 🫙
倒	倒 🫗
倾倒	倾倒 🫗
红酒	红酒 🍷
葡萄酒	葡萄酒 🍷
鸡尾酒	鸡尾酒 🍸
啤酒	啤酒 🍺
干杯	干杯 🥂
威士忌	威士忌 🥃
筷子	筷子 🥢
刀叉	刀叉 🍽
勺	勺 🥄
勺子	勺子 🥄
匙	匙 🥄
汤	汤 🥣
汤匙	汤匙 🥄
酒	酒 🍷
瑜伽	瑜伽 🧘
骑马	骑马 🏇
赛马	赛马 🏇
滑雪	滑雪 ⛷
高尔夫	高尔夫 ⛳
冲浪	冲浪 🏄
划船	划船 🚣
游泳	游泳 🏊
潜水	潜水 🤿
篮球	篮球 🏀
骑车	骑车 🚴
翻跟头	翻跟头 🤸
体操	体操 🤸
摔跤	摔跤 🤼
击剑	击剑 🤺
水球	水球 🤽
手球	手球 🤾
马戏团	马戏团 🎪
滑板	滑板 🛹
滑梯	滑梯 🛝
丝带	丝带 🎗
票	票 🎫
军功章	军功章 🎖
奖杯	奖杯 🏆
奖牌	奖牌 🏅
冠军	冠军 🥇
亚军	亚军 🥈
季军	季军 🥉
奖	奖 🏅
奖项	奖项 🏅
娱乐	娱乐 🎮
游戏	游戏 🎮
数码	数码 ⌚️
电子	电子 ⌚️
足球	足球 ⚽
棒球	棒球 ⚾
垒球	垒球 🥎
排球	排球 🏐
橄榄球	橄榄球 🏈
悠悠球	悠悠球 🪀
风筝	风筝 🪁
美式足球	美式足球 🏈
网球	网球 🎾
飞盘	飞盘 🥏
保龄球	保龄球 🎳
板球	板球 🏏
曲棍球	曲棍球 🏑
乒乓球	乒乓球 🏓
羽毛球	羽毛球 🏸
羽毛	羽毛 🪶
拳击	拳击 🥊
柔道	柔道 🥋
滑冰	滑冰 ⛸
旱冰	旱冰 🛼
轮滑	轮滑 🛼
钓鱼	钓鱼 🎣
鱼竿	鱼竿 🎣
运动服	运动服 🎽
雪橇	雪橇 🛷
冰壶	冰壶 🥌
飞镖	飞镖 🎯
回旋镖	回旋镖 🪃
台球	台球 🎱
手柄	手柄 🎮
骰子	骰子 🎲
色子	色子 🎲
拼图	拼图 🧩
面具	面具 🎭
画画	画画 🎨
音乐	音乐 🎵
音符	音符 🎵
麦克风	麦克风 🎤
话筒	话筒 🎤
耳机	耳机 🎧
萨克斯	萨克斯 🎷
吉他	吉他 🎸
喇叭	喇叭 🎺
号	号 🎺
小提琴	小提琴 🎻
提琴	提琴 🎻
沙球	沙球 🪇
手风琴	手风琴 🪗
班卓	班卓 🪕
油灯	油灯 🪔
斧子	斧子 🪓
梯子	梯子 🪜
梯	梯 🪜
电梯	电梯 🛗
钩	钩 🪝
钩子	钩子 🪝
锯	锯 🪚
螺丝刀	螺丝刀 🪛
鼓	鼓 🥁
电影	电影 🎬
弓	弓 🏹
弓箭	弓箭 🏹
摩托	摩托 🏍
摩托车	摩托车 🏍
赛车	赛车 🏎
山	山 🏔
火山	火山 🌋
富士山	富士山 🗻
露营	露营 🏕
海滩	海滩 🏖
沙漠	沙漠 🏜
岛	岛 🏝
小岛	小岛 🏝
岛屿	岛屿 🏝
公园	公园 🏞
运动场	运动场 🏟
房子	房子 🏘
屋	屋 🏘
屋子	屋子 🏘
住宅	住宅 🏘
茅屋	茅屋 🛖
茅舍	茅舍 🛖
别墅	别墅 🏡
家	家 🏠
办公楼	办公楼 🏢
邮局	邮局 🏣
医院	医院 🏥
银行	银行 🏦
宾馆	宾馆 🏨
旅馆	旅馆 🏨
学校	学校 🏫
商店	商店 🏪
商标	商标 ™
版权	版权 ©️
便利店	便利店 🏪
商场	商场 🏬
工厂	工厂 🏭
城堡	城堡 🏯
结婚	结婚 💒
塔	塔 🗼
东京铁塔	东京铁塔 🗼
自由女神	自由女神 🗽
教堂	教堂 ⛪
清真寺	清真寺 🕌
天房	天房 🕋
犹太	犹太 🕍
神社	神社 ⛩
鸟居	鸟居 ⛩
喷泉	喷泉 ⛲
帐篷	帐篷 ⛺
夜晚	夜晚 🌃
城市	城市 🏙
日出	日出 🌄
日落	日落 🌆
黄昏	黄昏 🌆
傍晚	傍晚 🌆
银河	银河 🌌
球	球 ⚽️
甜点	甜点 🍮
甜食	甜食 🍯
电器	电器 💡
旋转木马	旋转木马 🎠
摩天轮	摩天轮 🎡
过山车	过山车 🎢
游乐园	游乐园 🏟
降落伞	降落伞 🪂
跳伞	跳伞 🪂
伞兵	伞兵 🪂
火车	火车 🚂
电车	电车 🚃
高铁	高铁 🚄
地铁	地铁 🚇
轻轨	轻轨 🚈
车站	车站 🚉
公交	公交 🚌
巴士	巴士 🚌
汽车	汽车 🚗
缆车	缆车 🚡
车	车 🚗
运动	运动 🏒
零食	零食 🍭
面包	面包 🍞
飞行器	飞行器 🛩
餐具	餐具 🥄
碗	碗 🥣
饭	饭 🍛
饮料	饮料 🍹
救护车	救护车 🚑
消防车	消防车 🚒
警车	警车 🚓
出租车	出租车 🚕
货车	货车 🚚
拖拉机	拖拉机 🚜
自行车	自行车 🚲
单车	单车 🚲
板车	板车 🛴
脚踏车	脚踏车 🛴
电动车	电动车 🛵
铁轨	铁轨 🛤
加油	加油 ⛽
红绿灯	红绿灯 🚥
施工	施工 🚧
锚	锚 ⚓
船	船 ⛵
飞机	飞机 ✈
座位	座位 💺
直升机	直升机 🚁
卫星	卫星 🛰
人造卫星	人造卫星 🛰
火箭	火箭 🚀
飞碟	飞碟 🛸
烟花	烟花 🎆
烟火	烟火 🎆
礼花	礼花 🎆
中秋节	中秋节 🎑
中秋	中秋 🎑
人民币	人民币 ￥
日元	日元 💴
美元	美元 💵
欧元	欧元 💶
英镑	英镑 💷
韩元	韩元 ₩
法郎	法郎 ₣
复活节岛	复活节岛 🗿
安检	安检 🛂
危险	危险 ☠
洗澡	洗澡 🛀
睡觉	睡觉 😴
晚安	晚安 😴
睡眠	睡眠 🛌
困	困 😪
睏	睏 😪
哈欠	哈欠 🥱
打哈欠	打哈欠 🥱
情书	情书 💌
炸弹	炸弹 💣
洞	洞 🕳
方便袋	方便袋 🛍
购物袋	购物袋 🛍
购物	购物 🛒
购物车	购物车 🛒
手串	手串 📿
佛珠	佛珠 📿
钻石	钻石 💎
宝石	宝石 💎
石头	石头 🪨
岩石	岩石 🪨
苯	苯 ⌬
苯环	苯环 ⌬
刀	刀 🔪
菜刀	菜刀 🔪
罐	罐 🫙
坛	坛 ⚱️
地图	地图 🗺
岛国	岛国 🗾
世界	世界 🗺
世界地图	世界地图 🗺
指南针	指南针 🧭
砖	砖 🧱
砖头	砖头 🧱
砖块	砖块 🧱
理发店	理发店 💈
油桶	油桶 🛢
桶	桶 🪣
水桶	水桶 🪣
科学	科学 🔬
舵	舵 ☸️
粗粮	粗粮 🌽
铃	铃 🛎
铃铛	铃铛 🔔
重点	重点 ※
重要	重要 ※
参考	参考 ※
沙漏	沙漏 ⌛
手表	手表 ⌚
闹钟	闹钟 ⏰
闹铃	闹铃 ⏰
秒表	秒表 ⏱
座钟	座钟 🕰
温度计	温度计 🌡
鞭炮	鞭炮 🧨
爆竹	爆竹 🧨
气球	气球 🎈
鲤鱼	鲤鱼 🎏
鲤鱼旗	鲤鱼旗 🎏
风铃	风铃 🎐
红包	红包 🧧
礼物	礼物 🎁
蝴蝶结	蝴蝶结 🎀
水晶球	水晶球 🔮
护身符	护身符 🧿
泰迪熊	泰迪熊 🧸
画	画 🖼
调节	调节 🎚
收音机	收音机 📻
来电	来电 📲
电话	电话 ☎
BP机	BP机 📟
传呼机	传呼机 📟
传真	传真 📠
电池	电池 🔋
插销	插销 🔌
插头	插头 🔌
充电	充电 🔌
笔记本	笔记本 💻
电脑	电脑 💻
台式机	台式机 🖥
打印机	打印机 🖨
打印	打印 🖨
键盘	键盘 ⌨
鼠标	鼠标 🖱
盘	盘 💽
硬盘	硬盘 💽
软盘	软盘 💾
光盘	光盘 💿
算盘	算盘 🧮
兑换	兑换 💱
电视	电视 📺
照相机	照相机 📷
